fecha,spi.X107,spi.X117,spi.X123,spi.X200,spi.X201,spi.X203
1988-06-01,0.3219539006,0.5315357219,0.2503546143,1.0490990962,-0.2592466575,-0.0225653911
1988-07-01,1.0697043279,1.0073137572,1.3903541634,1.1169487884,-0.1789755202,0.5474471203
1988-08-01,-0.2517416864,0.7407360872,-1.4862113255,0.680639597,-0.8613824278,-0.1871626127
1988-09-01,-0.6572185331,-0.5643851092,-1.2454244587,-1.2206298963,-0.7288353737,-0.7894021105
1988-10-01,-1.2312206398,-1.6256259749,-1.8973631512,-1.9508751851,-1.4054517647,-2.0730452281
1988-11-01,-1.118994633,-1.8130545725,-1.3712535822,-1.7984684958,-1.5656271765,-1.9099879054
1988-12-01,-1.2820535753,-1.5013358484,-1.4971374261,-1.3251404817,-1.557057145,-1.3257860262
1989-01-01,-0.9207336833,-0.9216401047,-1.4387084747,-0.5196880055,-0.8567428341,-0.6270133668
1989-02-01,-0.7722464797,-0.8583378571,-1.4131817435,-0.0182504312,-0.5177635793,-0.2928981814
1989-03-01,-0.7776542573,-0.6272345922,-1.2484406913,0.1950846309,-0.7056048462,-0.187503965
1989-04-01,-0.3842084427,-0.1352162869,-0.4262725957,0.5029294611,-0.4445662303,0.1023618823
1989-05-01,-0.1117302345,0.5435069374,0.1265402557,0.6282692563,-0.3832321896,0.2399725785
1989-06-01,1.0266941282,1.6350125514,1.5693210924,1.6268185586,0.7310785325,0.4599373544
1989-07-01,1.1938408731,0.978208784,-0.1857784576,1.5098661592,1.1445753942,0.4697520793
1989-08-01,0.804174048,0.9747073117,0.3494272952,1.4501421706,0.9323082947,0.031710262
1989-09-01,-0.3002226403,0.0441830281,-0.4586825461,0.1085936218,0.3840541033,0.140321259
1989-10-01,-1.1735597754,-0.988212919,-1.0356714395,-1.5091424217,-1.0584914542,-1.3030854006
1989-11-01,-1.194348419,-1.2334488704,-0.9501585296,-1.4125834511,-1.3806363209,-1.4243919009
1989-12-01,-1.9117905032,-1.8903481044,-1.4802865692,-2.0767900482,-1.8579162492,-2.3787753876
1990-01-01,-0.9336211649,-1.2823832176,-1.0296471604,-1.4818657524,-0.7715787931,-1.0450966258
1990-02-01,-1.2003311412,-1.4042016661,-1.2207229998,-1.6396304547,-1.1333540645,-1.1522078416
1990-03-01,-1.2571064646,-1.6094517829,-1.4709781411,-1.7269311521,-1.3622348982,-1.0691960799
1990-04-01,-1.5325761515,-1.7246497596,-1.6359533238,-1.7593670704,-2.1071889113,-1.4033937898
1990-05-01,-1.3344017527,-1.8266978274,-1.716620741,-1.6310666028,-1.6229548029,-1.4462460505
1990-06-01,0.0386189851,0.2459763095,-0.4682906942,0.7257119992,0.511505116,0.4171492255
1990-07-01,1.1791728033,0.7378954755,1.1910221501,1.4633426223,0.7391299015,1.1473819532
1990-08-01,0.8484646948,0.7744651546,0.6162817853,1.5807305428,0.5375443945,1.1185223991
1990-09-01,-0.3829187762,-1.0556335146,-0.6002891474,-0.3224445679,-0.7758645089,-0.3794096702
1990-10-01,0.4973867867,0.5026068547,0.1639677517,1.276077252,0.2595954527,0.7556703857
1990-11-01,0.9204074705,1.2949422601,0.9083288865,1.4924378621,1.1537370886,1.105519722
1990-12-01,0.7136650678,0.7109638946,0.8796341911,1.0707240125,0.7964387118,0.6195373326
1991-01-01,-0.3625102947,-0.2036020703,-0.1965818345,-0.3776783446,-0.35109876,-0.4793939348
1991-02-01,-0.9215763934,-0.9909681449,-0.7727840175,-1.1674361516,-1.2831468412,-0.9626461953
1991-03-01,-0.8199408619,-0.7231208417,-0.9176476469,-1.2007460646,-1.3215865612,-1.0949311254
1991-04-01,-0.6044619087,-0.4921708073,-0.6097418664,-0.7754579888,-0.9300886781,-0.7873841466
1991-05-01,-0.0908409326,0.3036401248,-0.1789529004,-0.1485780265,-0.3571459809,-0.614038951
1991-06-01,-0.7445786995,0.0988456193,-0.7343261888,0.8813237101,1.1203805419,0.0781406779
1991-07-01,0.0524741305,0.4631810783,-0.220430033,1.2471966217,1.1012974322,0.7789605498
1991-08-01,-0.5873460272,0.3072641464,-1.6362685672,1.1325066485,1.0161973197,0.4677779202
1991-09-01,-2.0893255004,-0.9733185565,-2.4786344486,-1.2439260386,-0.8783141458,-0.9014427216
1991-10-01,-1.9690607705,-0.6334876619,-2.2303712918,-0.5627215455,-1.3389017793,-0.993159451
1991-11-01,-1.1019339589,-0.3599441154,-1.0174160924,-0.7550011338,-1.4622548986,-0.7466809292
1991-12-01,-2.1113901262,-1.6358567364,-1.5315888821,-2.2415320979,-2.5121071939,-1.7842991789
1992-01-01,-1.2848286245,-1.2979679605,-1.0542815754,-1.8102744035,-1.5486054589,-1.3241059726
1992-02-01,-1.7317153075,-1.9937400432,-1.5608179736,-2.0762707423,-1.7918432038,-1.7923579927
1992-03-01,-1.8367111119,-2.1638101424,-1.838145547,-2.1632462808,-1.886146577,-1.9553971149
1992-04-01,-2.0909072029,-2.5238808718,-2.1997904736,-2.2757998469,-2.2855776556,-2.1951789959
1992-05-01,-2.2824453501,-1.9965865342,-2.0273890164,-2.1858395372,-2.2295372923,-2.0218682407
1992-06-01,-0.74440637,0.2689835543,-0.6714991567,-1.0874042411,-1.0294596479,0.1678430422
1992-07-01,0.4872417984,1.3951517884,0.9355655257,-0.0665807703,0.3714563493,1.342396823
1992-08-01,1.2903099413,1.6064650493,1.270040816,0.3018333033,0.8267047748,1.6524352722
1992-09-01,0.03886323,0.4155050685,-0.2006601659,0.6434249379,0.7710470173,0.8253196103
1992-10-01,0.0761452428,0.0050680525,-0.1906270925,0.0672798377,0.1811812326,0.2560139756
1992-11-01,0.1171988999,-0.091261475,-0.2433517907,-0.1867664967,-0.042124299,-0.6282990281
1992-12-01,0.242088238,-0.2633503837,-0.1572992693,-1.1806495851,-0.4181002048,-1.1716254015
1993-01-01,0.6949267683,0.2035145239,0.3670365625,-0.0287633371,0.4155342016,-0.2996696072
1993-02-01,-0.1535214948,-0.6741530167,-0.3450866938,-0.7227651456,-0.2831488091,-1.0132920854
1993-03-01,-0.0023207741,-0.7469183747,-0.2916712481,-0.4367644253,-0.1961536772,-0.7983925253
1993-04-01,-0.8060014272,-1.5473057278,-1.0134983142,-1.1057319228,-0.9576463677,-1.2929139987
1993-05-01,0.2028578934,-0.5045378173,-0.1800699752,-0.3014337106,-0.3699026219,-0.2137210559
1993-06-01,-0.5468100791,-0.1389857003,-0.9492882339,-0.6412158062,0.8202884393,0.2655944188
1993-07-01,0.5072652669,0.685026238,0.1093802357,-0.3186901134,0.8626231342,0.4579324427
1993-08-01,0.8410487089,0.8159057117,0.6477885162,0.2072389481,1.0854938777,0.8105859839
1993-09-01,0.4887332269,0.9409582774,0.5102381467,0.5887048072,0.440834776,0.5822762367
1993-10-01,0.4642106051,0.6067647283,0.5947059198,0.4181368183,0.710294319,0.5912872446
1993-11-01,1.04634204,0.7103884338,1.0114442253,0.4453047586,0.4180984354,0.4102320494
1993-12-01,0.8135741114,1.0324911042,0.8648661328,0.3917120416,0.6919846217,0.5596527659
1994-01-01,-0.3035556967,0.1349377446,-0.1827789339,-0.1830866037,-0.7533930368,-0.2310453665
1994-02-01,-0.3176155228,0.2688153028,-0.2628495537,-0.1049058652,-0.7420563638,-0.0751935026
1994-03-01,-0.6611233587,-0.3999997669,-0.6918667825,-0.5755065502,-1.0408256292,-0.5373420556
1994-04-01,-0.1632029975,-0.0624059226,-0.2338867257,-0.2608809031,-0.3201956009,-0.1625608929
1994-05-01,-0.8219734525,-0.9783914423,-0.5735060192,-0.8952163358,-0.2598300313,-0.8057259926
1994-06-01,-0.9013525717,-0.5897640077,-0.1317395715,0.0413671685,-0.5296794288,-0.4558357368
1994-07-01,-1.3078006846,-0.1221080845,0.1061903728,-0.1189804016,0.1053836433,-0.0974165202
1994-08-01,-1.2672122336,-0.3354047107,-0.2604023493,-0.2373723736,-0.1507937781,-0.670895343
1994-09-01,-0.8389258756,-0.321577328,-0.7171431698,-0.131537171,-0.4955019405,-0.9626924406
1994-10-01,-1.0983850903,-1.4174377263,-0.9516936497,-0.9153750436,-1.4320871549,-2.0908089107
1994-11-01,-0.4049818908,-0.4583190113,-0.7655402079,-0.3705280171,-1.148104641,-0.7808938695
1994-12-01,-0.8037104881,-0.8279348254,-1.307242995,-0.1019939839,-1.4799413703,-0.2842422981
1995-01-01,-1.7678002238,-1.5731867828,-1.9454937379,-1.0727157165,-2.2806671105,-1.3542224823
1995-02-01,-1.613097913,-1.8830872588,-1.5912870201,-1.3496754742,-1.9932897371,-1.4950819412
1995-03-01,-1.4075507708,-1.4082747333,-1.1879039083,-1.382206074,-1.7232543503,-1.2127693161
1995-04-01,-0.6084630737,-0.6542412334,-0.4272414803,-0.7745905239,-0.727301387,-0.310121043
1995-05-01,-0.4304156585,0.1439123805,-0.3270941856,-0.3183978288,-0.6634728642,0.2725322337
1995-06-01,-1.2156909495,-1.3206154973,-1.661820077,-1.3807212202,-1.2076440916,-1.5444776185
1995-07-01,-1.0837811406,-1.1245036755,-1.644853627,-1.075387722,-0.7654841746,-0.9357993531
1995-08-01,-0.8426760312,-1.1029164023,-0.3011368465,-1.4395314709,-0.4611184874,-0.8416212336
1995-09-01,-1.0007597108,-1.2307211671,-0.1230914418,-2.0542217699,-0.7998329525,-1.5834873328
1995-10-01,-1.5604152006,-1.647286018,-0.6838326054,-1.7772646392,-1.4200927246,-1.8610384499
1995-11-01,-1.1845405542,-1.1566759829,-0.7747418177,-0.7358608024,-1.0682248491,-0.5826623217
1995-12-01,-0.6456936832,-1.2092107809,-0.7907096003,-1.0098433233,-0.7727736096,-0.6903911605
1996-01-01,-0.2345074538,-0.6045032957,-0.2358627623,-0.7759112047,-0.0822931655,-0.2154453375
1996-02-01,-0.6359288528,-0.8287274465,-0.4910533719,-0.9743778624,-0.593557868,-0.6534556503
1996-03-01,-0.8337024313,-0.9741922866,-0.772153583,-1.0834672968,-0.9418779062,-0.8955666246
1996-04-01,-0.9216573261,-0.980125347,-0.9363719044,-0.814385352,-0.9619702533,-0.9556625117
1996-05-01,-0.5345435332,-0.7056429937,-0.8122160432,-0.49886706,-0.4110955736,-0.5800590237
1996-06-01,0.194286788,-0.1118335912,0.5147996693,0.1618548363,0.2349568973,0.4285282527
1996-07-01,-0.1491349903,-0.956365635,0.0934033677,-0.8507652377,-0.6939957759,-0.8742991703
1996-08-01,-0.1274635327,-1.1902365527,-0.0128709756,-0.5890303718,-0.3575011237,-0.315666821
1996-09-01,-0.2706300652,-0.7760084664,-0.221470347,-0.6400257354,-0.1912266168,-0.026633174
1996-10-01,-0.3893090427,-0.8738914972,-0.51936101,-0.8575304616,-0.6809497323,-0.3617464586
1996-11-01,-0.1868854354,-0.4446797349,-0.3702550235,0.1488273566,-0.7424952614,0.2363138332
1996-12-01,0.6320788046,0.5315922578,0.5221218804,0.6958399299,-0.0134754283,0.3687459241
1997-01-01,0.6437622525,0.8151428438,0.8954333835,1.1296534858,0.5663584241,1.1514460025
1997-02-01,1.061775383,1.2846740508,1.1677139778,1.375110539,0.80929803,1.1130075963
1997-03-01,1.000741426,0.9942551657,0.7641283219,1.2266463407,0.4730626633,0.9747674967
1997-04-01,0.9938090176,0.8193872714,0.462867007,0.9425718444,0.1645291333,0.3325752682
1997-05-01,0.4226341152,-0.324661125,-0.5686782373,0.1687261621,-0.7704536393,-0.3173599333
1997-06-01,-1.0028394525,-1.3100506063,-0.5964254018,-0.7308310997,-0.8881714511,-1.2206291354
1997-07-01,-1.4503496806,-0.6208029507,-1.4449934316,-0.1533760761,-0.6795132073,-0.5788788418
1997-08-01,-0.1802768647,0.1018708746,-0.0540891632,0.6379557565,-0.3616029246,0.3553268953
1997-09-01,1.2345010819,1.2425839166,1.452202318,1.6514680131,0.4815129459,1.4215954281
1997-10-01,0.2351105051,0.4892994738,0.9136272045,0.2533604777,-0.2615940633,0.4082868801
1997-11-01,0.4370213004,0.4454823149,0.7642667972,0.5152346074,-0.4406693209,0.5557104136
1997-12-01,-0.5481904715,-0.6120039857,-0.4879412097,-0.1107285862,-1.5123568997,-0.22444049
1998-01-01,-0.3701441655,-0.202240877,-0.4846853758,0.3779583638,-0.4353922544,0.2653954933
1998-02-01,-0.9405178825,-0.514532377,-0.9769424077,-0.2494927756,-0.3911738424,-0.2545905054
1998-03-01,-1.1705137805,-0.8456783606,-1.0722094113,-0.416421611,-0.0059774814,-0.3516887117
1998-04-01,-1.2852483034,-1.1787852025,-1.0739534731,-1.0038616931,-0.0864532362,-0.7391197021
1998-05-01,-1.2544741933,-1.8772140689,-0.7632177108,-1.0279230852,0.044775938,-0.6062340437
1998-06-01,-0.5408975673,-0.3034196503,-0.5509124585,0.0251152669,-0.5726122958,-0.9160829065
1998-07-01,-0.6703899113,-0.0010340733,-1.0736587419,0.73112305,-0.8651507182,-1.644853627
1998-08-01,-0.0875464635,0.1303808332,-0.2174603552,0.3185872321,-1.0364333895,-0.8416212336
1998-09-01,-0.8858224759,-1.5778242271,-0.8078743995,-2.5882501425,-2.3201970416,-1.9167580997
1998-10-01,-0.2398323521,-0.9934533986,-0.2929785787,-1.2546046073,-0.4032544092,-0.9863085232
1998-11-01,0.4777113089,0.2500935977,0.4732101129,0.0517125043,0.7408928216,0.2123177735
1998-12-01,-0.4513671423,-0.8194356555,-0.4256921264,-0.9585739481,0.0604514747,-0.9134712697
1999-01-01,-1.2757221671,-1.2592135896,-0.848272288,-0.7891140402,-1.2157686678,-1.1935965824
1999-02-01,-0.49719659,-0.4885427382,-0.2609015949,-0.1958779668,-1.2877846574,-0.50255882
1999-03-01,0.8058809647,0.9016504132,0.8967389996,1.1753277765,0.0016121718,0.9692556197
1999-04-01,1.6131893049,1.6393265835,1.4877819538,1.7103839055,0.994165467,1.8029224203
1999-05-01,2.269110979,2.2299675047,1.851921807,2.290530916,1.8278841609,2.3068558514
1999-06-01,0.1023530692,0.2743465484,0.3341564668,0.363806887,0.0322916848,0.8057825229
1999-07-01,-0.7926539522,-0.052612456,-0.7850662841,-0.1640266226,-0.5725151146,-0.0394885983
1999-08-01,-1.182963874,-0.3509797188,-1.0453376527,-0.9233606651,-1.0364333895,-0.628740794
1999-09-01,-0.0115337448,0.0432132702,-0.6366200624,-0.5607217474,-1.0667556784,-0.0767820051
1999-10-01,0.8183603057,0.6440997159,0.0917504627,0.2728487085,0.9862994675,0.5830458381
1999-11-01,-0.0601144512,-0.1877179767,-0.4408986013,-0.4734167441,0.3893817715,-0.130874442
1999-12-01,-0.8151969475,-0.7590898788,-0.4820172551,-0.809477649,-0.3085254514,-1.0285415652
2000-01-01,0.3049975963,0.1976499164,0.5224916239,0.5576978083,-0.5060695597,-0.1911361246
2000-02-01,0.1989871522,0.5265039633,0.3862307232,0.9807224112,0.1676618627,0.370461675
2000-03-01,0.4315780042,0.75527577,0.4694742088,1.1201034517,0.5082095409,0.7083561662
2000-04-01,-0.2830418908,0.3832232221,-0.2867993452,0.5611628842,0.1518181336,0.4274918928
2000-05-01,-0.1418062438,0.0906054952,-0.2157650882,0.0786484159,-0.2897400543,0.0051824451
2000-06-01,-0.9676668095,-0.4661041555,-1.0339686833,-1.071008303,0.5943806242,-0.8047288847
2000-07-01,0.3671330681,0.2370261767,0.4473904329,-0.9821226508,0.9703550072,0.1237483442
2000-08-01,0.385432484,0.2343976224,0.5803111383,-0.6634447779,1.0503857683,0.1851418303
2000-09-01,-1.0411580221,-1.1843493717,-0.6041633042,-0.8556021235,-0.7985358032,-0.5801900534
2000-10-01,0.29298092,0.2684028429,0.5072246305,0.3961586516,0.7727714644,0.4319568526
2000-11-01,-0.527258597,-0.3828797954,-0.3357652567,-0.4853202773,-0.2448731508,-0.5375468956
2000-12-01,0.3769704852,0.656095339,0.2598834855,0.0747890137,0.4796094855,0.2202837077
2001-01-01,2.1333421802,1.9221473824,1.8098507636,1.3518081468,2.1282604707,1.9676779432
2001-02-01,2.4363957793,2.0316066634,2.2980863655,1.7658598799,2.0185688108,2.2573820226
2001-03-01,2.4940943904,2.0042816697,2.4593846373,1.8400384829,2.04741224,2.2852348008
2001-04-01,1.4779379879,1.1233291164,1.6290265036,1.273736104,0.28432888,1.1658699004
2001-05-01,0.9327394659,0.7362480445,0.9358431094,0.8230523714,0.2458647437,0.6152147403
2001-06-01,0.261159506,-0.2084938418,-0.1728628064,-0.1281316672,-0.1770132226,-0.2720915162
2001-07-01,1.200002044,0.0436105843,0.3110338094,-0.1646550189,0.5993801148,0.2114124833
2001-08-01,1.2635708168,-0.0442526618,0.39167664,-0.1128129719,0.6034225707,0.3834100984
2001-09-01,0.1128653231,0.0938069656,0.1918713302,0.0808096375,0.6525150595,0.5834982057
2001-10-01,0.4171187076,0.0411027255,0.3112259368,0.1291096559,0.5946735178,0.1429875078
2001-11-01,-0.2324127657,-0.5966025092,-0.225148832,-0.6869478565,-0.3916998947,-0.9022956467
2001-12-01,0.1093916058,-0.717008455,0.0149913802,-1.026930092,-0.1641972896,-1.3017531583
2002-01-01,-0.8143429983,-1.1799061978,-0.7510089493,-1.2559613879,-1.274223785,-1.3679181378
2002-02-01,0.4597362144,0.3213477977,0.3185174823,0.3052386559,0.225671876,0.0813493751
2002-03-01,0.6801333123,0.6653080889,0.805267077,0.7739743471,0.31912687,0.6374583452
2002-04-01,1.4284137086,1.356152525,1.4605632471,1.5134154544,1.2574657955,1.4132814713
2002-05-01,1.0962873816,0.850904365,1.3206384524,1.1615738502,0.4632415884,1.0189506971
2002-06-01,0.896007563,0.2442057647,0.5487477666,0.8114576292,0.1083207345,1.3772235432
2002-07-01,1.1911075029,0.5468710328,1.3141054618,0.2964627124,0.6950733422,1.4447003949
2002-08-01,0.9618136141,0.4052294587,0.8605149377,-0.1048641117,0.5095299433,1.1757264036
2002-09-01,0.2410816161,0.4863127832,-0.089380399,0.0119367357,0.7034629794,0.4477020846
2002-10-01,0.9490732954,1.0690597904,0.7085126663,0.7667122836,1.5568971157,1.18563872
2002-11-01,0.4785784832,0.9360609201,0.3972526454,0.6332969189,1.1523755737,0.8308728917
2002-12-01,0.164680916,0.5047268795,0.2076883027,0.3619514513,0.951364598,0.4535185693
2003-01-01,-0.29953163,-0.177799994,-0.3087345695,-0.2323625105,-0.2372056725,-0.1441549654
2003-02-01,-0.2733105275,-0.3790189488,-0.3368809517,-0.4396883062,-0.0835280764,-0.3502737724
2003-03-01,-0.1473145061,-0.0930073391,0.0302463359,-0.0927809296,0.287826429,0.0034697703
2003-04-01,-0.1243395972,0.0736163994,0.1843433735,0.008938434,0.2940795516,0.0882580267
2003-05-01,-0.0809308161,0.5342444535,0.5371723428,0.5250365942,0.5564769525,0.6005928014
2003-06-01,-0.79342852,-0.8268219853,-1.1947321201,-0.8179705014,-0.8455999629,-0.7715078079
2003-07-01,-0.1862763573,-0.801306656,-0.6108776757,0.0230783965,-0.5216570561,-0.0957438582
