"fecha","spi100","spi101","spi102","spi104","spi105","spi107","spi108","spi109","spi110","spi111","spi112","spi113","spi116","spi117","spi118","spi119","spi120","spi121","spi122","spi123","spi124","spi125","spi126","spi200","spi201","spi202","spi203","spi204","spi205","spi206"
"2014-11-01",1.3617238521,1.6018147182,1.1288309709,1.3978985219,0.6752282276,1.3048124228,1.4081196826,1.1967030724,1.5247563747,-0.8817011706,1.3097166176,1.3727188719,0.5949489364,0.9273968393,1.324343535,1.217304868,0.754173856,1.379296296,1.4712385185,1.0842636179,1.3334341476,0.5727117339,1.3429879607,0.4807901964,1.0038939253,0.5598119588,0.397183915,0.3362444108,1.0087625217,0.4733195682
"2014-12-01",0.3842273358,0.3669161448,0.2807017563,0.8291568258,-0.007460901,0.3149048839,-0.0679343377,-0.3204388338,0.6551945532,-0.6990887314,0.1176458155,0.0062812307,-0.1714828521,-0.0417680699,0.4392931462,0.0154473276,-0.2249963866,-0.0919703102,-0.6797207881,0.089637318,0.4123689927,-0.4527828399,0.3076828282,0.1339679923,0.791963515,0.2383841208,0.1548195881,0.3343039544,0.6947904558,0.2384019969
"2015-01-01",0.1511684441,0.17677403,0.0535466555,0.3687224847,0.8364759306,0.3078244046,-0.1452449769,0.2265372798,0.3438050107,0.9589252846,0.1027837654,0.1133450939,-0.4238816198,0.4022833072,0.1453348009,0.1319366351,0.3470833806,0.9106356698,0.1925179658,0.1977174461,-0.0701446664,-0.3494771414,0.5620105942,0.1088568139,0.889549758,0.351874606,0.3146583439,0.524121986,0.2210748665,0.8186199573
"2015-02-01",0.5862234724,0.338583718,0.4198317849,0.7978884678,0.7506307826,0.2699933434,0.0576921752,0.2903595845,0.6562704146,0.9667608633,0.2700214745,0.2280152156,0.0353824202,0.3237078614,0.5901487233,0.2194178872,0.4355082672,0.8524710954,0.3113544715,0.2092391547,0.229808816,0.0636027696,0.4703875538,0.0629944223,0.9634582053,0.1785203225,0.155763653,0.2250207208,0.5668081451,0.610577138
"2015-03-01",0.2355764325,0.4317238787,0.2928519872,0.3222553825,0.9449876711,0.0565264651,0.228264326,0.5580804809,0.3867583772,1.229993912,0.0211539149,0.4054993712,0.0985709907,0.3782920343,0.2544831334,0.2243734758,0.7662315053,1.104329658,0.5557578427,0.1496011161,-0.0044879583,0.339406073,0.7067392348,0.3295629986,0.6229851365,0.5876463906,0.0687193327,0.5297777346,0.1882363038,0.9459817518
"2015-04-01",0.6394719403,0.6388251429,0.5441435825,0.5848908717,0.6851124677,0.0855964079,0.453544834,0.6096831175,0.683706913,0.8755461797,0.2104700177,0.5128883034,0.4016544817,0.1923489967,0.6457603269,0.3591524051,0.7269383754,0.8383641557,0.4845693062,0.1319296164,0.3773271074,0.6485979667,0.5835097778,0.5079422888,0.6094624241,0.6946702433,-0.1229187995,0.5251410317,0.5359190579,0.8209940229
"2015-05-01",0.5830750109,0.8805858723,0.5316244998,0.4943027255,1.1304965758,0.3902962119,0.5720658815,0.9897433518,0.9293061945,1.2633205954,0.3765397353,0.7669886093,0.3920358087,0.4671668296,0.6230179539,0.6960372828,1.1175966577,1.3011622486,0.6910147693,0.4450470653,0.5192369437,0.7752761582,1.1474110064,1.2019106099,0.9531451137,1.4567592352,0.4092956069,1.3801788061,0.8092092268,1.4445045633
"2015-06-01",2.1970479281,1.6485471325,1.5171175724,2.2229231112,2.2485442044,1.4526367203,0.9513626801,1.6685294321,2.0213905588,1.696959717,1.9880889979,1.4642657876,0.7967844838,0.7293456467,2.2165243788,1.9512607059,1.7296332402,2.6581213115,0.8528407132,1.5990840736,1.4183828853,1.2250318919,1.3938748237,1.0006659557,0.8458316453,2.0094486044,0.4293032231,1.7121147308,0.7034355207,1.8244041229
"2015-07-01",1.0829899628,0.8576356826,0.7406543646,1.2341550704,1.082335518,0.4360946173,0.310871105,0.3521079415,0.8908089831,1.2349532862,0.8365394106,0.8668209089,0.551086017,0.304999232,1.1766689639,0.7225644259,0.3493433404,0.9907749511,0.2915420771,0.6211196045,0.9229507378,0.7319201473,0.2382622421,0.3106506682,0.6658616592,0.7531985484,0.4019365534,0.4738108663,0.6410251911,0.5793970134
"2015-08-01",0.8574053913,0.7966571154,0.6670885192,0.9317236164,1.0377340795,0.0655075582,0.3403088766,1.0766262152,0.5493255681,1.2771954871,0.6233136373,0.879540568,0.8649089691,0.1263058596,0.9978514129,0.4768513013,0.7318012511,1.1816201994,0.9729013638,0.407546639,0.5799190205,0.8249277505,-0.0280633942,0.1359913305,0.5520848048,0.5840975019,0.2635341822,0.3152713559,0.3938958069,0.5563881559
